start,goal,net_add,net_del,net_temp,full_path,path,action,a_star_cost,a_star_ops,a_star_add,a_star_del,a_star_temp
1*4*5*12|1,2*5*8|1,,,,N/A,N/A,N/A,,,,,
1*4*5*12|1,4*6*8|1,,,,N/A,N/A,N/A,,,,,
1*4*5*12|1,4*5*6*8|1,,,,N/A,N/A,N/A,,,,,
1*4*5*12|1,3*4*5*6*8|1,,,,N/A,N/A,N/A,,,,,
1*4*5*12|1,1*9|1,,,,N/A,N/A,N/A,,,,,
1*4*5*12|1,3*9|1,,,,N/A,N/A,N/A,,,,,
1*4*5*12|1,1*3*9|1,,,,N/A,N/A,N/A,,,,,
1*4*5*12|1,4*9|1,,,,N/A,N/A,N/A,,,,,
1*4*5*12|1,1*4*9|1,,,,N/A,N/A,N/A,,,,,
1*4*5*12|1,1*5*9|1,,,,N/A,N/A,N/A,,,,,
1*4*5*12|1,1*2*7*9|1,,,,N/A,N/A,N/A,,,,,
1*4*5*12|1,4*7*9|1,,,,N/A,N/A,N/A,,,,,
1*4*5*12|1,8*9|1,,,,N/A,N/A,N/A,,,,,
1*4*5*12|1,1*2*10|1,,,,N/A,N/A,N/A,,,,,
1*4*5*12|1,4*10|1,,,,N/A,N/A,N/A,,,,,
1*4*5*12|1,2*5*10|1,,,,N/A,N/A,N/A,,,,,
1*4*5*12|1,3*4*5*6*10|1,,,,N/A,N/A,N/A,,,,,
1*4*5*12|1,7*10|1,,,,N/A,N/A,N/A,,,,,
1*4*5*12|1,5*7*10|1,,,,N/A,N/A,N/A,,,,,
1*4*5*12|1,6*8*10|1,,,,N/A,N/A,N/A,,,,,
1*4*5*12|1,3*4*6*8*10|1,,,,N/A,N/A,N/A,,,,,
1*4*5*12|1,4*5*9*10|1,,,,N/A,N/A,N/A,,,,,
1*4*5*12|1,8*9*10|1,,,,N/A,N/A,N/A,,,,,
1*4*5*12|1,2*8*9*10|1,,,,N/A,N/A,N/A,,,,,
1*4*5*12|1,6*8*9*10|1,,,,N/A,N/A,N/A,,,,,
1*4*5*12|1,2*8*11|1,,,,N/A,N/A,N/A,,,,,
1*4*5*12|1,9*11|1,,,,N/A,N/A,N/A,,,,,
1*4*5*12|1,6*9*11|1,,,,N/A,N/A,N/A,,,,,
1*4*5*12|1,8*9*11|1,,,,N/A,N/A,N/A,,,,,
1*4*5*12|1,12|1,,,,N/A,N/A,N/A,,,,,
1*4*5*12|1,2*12|1,,,,N/A,N/A,N/A,,,,,
1*4*5*12|1,3*12|1,,,,N/A,N/A,N/A,,,,,
1*4*5*12|1,4*12|1,,,,N/A,N/A,N/A,,,,,
1*4*5*12|1,1*2*5*12|1,,,,N/A,N/A,N/A,,,,,
1*4*5*12|1,6*12|1,,,,N/A,N/A,N/A,,,,,
1*4*5*12|1,4*6*12|1,,,,N/A,N/A,N/A,,,,,
1*4*5*12|1,6*9*10*12|1,,,,N/A,N/A,N/A,,,,,
1*4*5*12|1,9*11*12|1,,,,N/A,N/A,N/A,,,,,
3*4*5*12|1,1|1,,,,N/A,N/A,N/A,,,,,
3*4*5*12|1,1*4|1,,,,N/A,N/A,N/A,,,,,
3*4*5*12|1,1*3*4|1,,,,N/A,N/A,N/A,,,,,
3*4*5*12|1,1*2*5|1,,,,N/A,N/A,N/A,,,,,
3*4*5*12|1,1*6|1,,,,N/A,N/A,N/A,,,,,
3*4*5*12|1,1*2*6|1,,,,N/A,N/A,N/A,,,,,
3*4*5*12|1,4*6|1,,,,N/A,N/A,N/A,,,,,
3*4*5*12|1,7|1,,,,N/A,N/A,N/A,,,,,
3*4*5*12|1,5*7|1,,,,N/A,N/A,N/A,,,,,
3*4*5*12|1,1*5*7|1,,,,N/A,N/A,N/A,,,,,
3*4*5*12|1,4*5*7|1,1,2,0,[3*4*5*12|1]~~{(+7)}~~>[4*5*7|1],[3*4*5*12|1]~>[4*5*7|1],{(+7)}~,11.0,1,1,0,0
3*4*5*12|1,1*2*6*7|1,,,,N/A,N/A,N/A,,,,,
3*4*5*12|1,1*4*6*7|1,,,,N/A,N/A,N/A,,,,,
3*4*5*12|1,3*5*6*8|1,,,,N/A,N/A,N/A,,,,,
3*4*5*12|1,9|1,,,,N/A,N/A,N/A,,,,,
3*4*5*12|1,1*2*9|1,,,,N/A,N/A,N/A,,,,,
3*4*5*12|1,3*4*9|1,,,,N/A,N/A,N/A,,,,,
3*4*5*12|1,5*9|1,,,,N/A,N/A,N/A,,,,,
3*4*5*12|1,1*5*9|1,,,,N/A,N/A,N/A,,,,,
3*4*5*12|1,6*9|1,,,,N/A,N/A,N/A,,,,,
3*4*5*12|1,4*7*9|1,,,,N/A,N/A,N/A,,,,,
3*4*5*12|1,1*5*7*9|1,3,3,0,[3*4*5*12|1]~~{(+7)}~~>[4*5*7|1]~~{(+1  9)}~~>[1*4*5*7*9|1]~~{(-4)}~~>[1*5*7*9|1],[3*4*5*12|1]~>[4*5*7|1]~>[1*4*5*7*9|1]~>[1*5*7*9|1],{(+7)}~{(+1  9)}~{(-4)}~,43.0,3,3,1,0
3*4*5*12|1,4*5*7*9|1,2,2,0,[3*4*5*12|1]~~{(+7  9)}~~>[4*5*7*9|1],[3*4*5*12|1]~>[4*5*7*9|1],{(+7  9)}~,12.0,1,2,0,0
3*4*5*12|1,8*9|1,,,,N/A,N/A,N/A,,,,,
3*4*5*12|1,10|1,,,,N/A,N/A,N/A,,,,,
3*4*5*12|1,2*5*10|1,,,,N/A,N/A,N/A,,,,,
3*4*5*12|1,2*6*10|1,,,,N/A,N/A,N/A,,,,,
3*4*5*12|1,7*10|1,,,,N/A,N/A,N/A,,,,,
3*4*5*12|1,2*7*10|1,,,,N/A,N/A,N/A,,,,,
3*4*5*12|1,5*7*10|1,,,,N/A,N/A,N/A,,,,,
3*4*5*12|1,4*5*7*10|1,2,2,0,[3*4*5*12|1]~~{(+7  10)}~~>[4*5*7*10|1],[3*4*5*12|1]~>[4*5*7*10|1],{(+7  10)}~,12.0,1,2,0,0
3*4*5*12|1,2*6*7*10|1,,,,N/A,N/A,N/A,,,,,
3*4*5*12|1,3*4*6*8*10|1,,,,N/A,N/A,N/A,,,,,
3*4*5*12|1,9*10|1,,,,N/A,N/A,N/A,,,,,
3*4*5*12|1,4*9*10|1,,,,N/A,N/A,N/A,,,,,
3*4*5*12|1,7*9*10|1,,,,N/A,N/A,N/A,,,,,
3*4*5*12|1,2*7*9*10|1,,,,N/A,N/A,N/A,,,,,
3*4*5*12|1,5*7*9*10|1,,,,N/A,N/A,N/A,,,,,
3*4*5*12|1,8*9*10|1,,,,N/A,N/A,N/A,,,,,
3*4*5*12|1,1*7*11|1,,,,N/A,N/A,N/A,,,,,
3*4*5*12|1,9*11|1,,,,N/A,N/A,N/A,,,,,
3*4*5*12|1,6*9*11|1,,,,N/A,N/A,N/A,,,,,
3*4*5*12|1,9*10*11|1,,,,N/A,N/A,N/A,,,,,
3*4*5*12|1,6*9*10*11|1,,,,N/A,N/A,N/A,,,,,
3*4*5*12|1,7*9*10*11|1,,,,N/A,N/A,N/A,,,,,
3*4*5*12|1,6*8*9*10*11|1,,,,N/A,N/A,N/A,,,,,
3*4*5*12|1,3*12|1,,,,N/A,N/A,N/A,,,,,
3*4*5*12|1,1*3*12|1,,,,N/A,N/A,N/A,,,,,
3*4*5*12|1,4*6*12|1,,,,N/A,N/A,N/A,,,,,
3*4*5*12|1,2*7*12|1,,,,N/A,N/A,N/A,,,,,
3*4*5*12|1,9*12|1,,,,N/A,N/A,N/A,,,,,
3*4*5*12|1,11*12|1,,,,N/A,N/A,N/A,,,,,
1*3*4*5*12|1,1*3|1,,,,N/A,N/A,N/A,,,,,
1*3*4*5*12|1,4|1,,,,N/A,N/A,N/A,,,,,
1*3*4*5*12|1,1*5|1,,,,N/A,N/A,N/A,,,,,
1*3*4*5*12|1,2*5|1,,,,N/A,N/A,N/A,,,,,
1*3*4*5*12|1,1*2*5|1,,,,N/A,N/A,N/A,,,,,
1*3*4*5*12|1,3*4*5|1,,,,N/A,N/A,N/A,,,,,
1*3*4*5*12|1,1*6|1,,,,N/A,N/A,N/A,,,,,
1*3*4*5*12|1,1*2*6|1,,,,N/A,N/A,N/A,,,,,
1*3*4*5*12|1,3*4*6|1,,,,N/A,N/A,N/A,,,,,
1*3*4*5*12|1,4*5*6|1,,,,N/A,N/A,N/A,,,,,
1*3*4*5*12|1,1*4*7|1,,,,N/A,N/A,N/A,,,,,
1*3*4*5*12|1,4*8|1,,,,N/A,N/A,N/A,,,,,
1*3*4*5*12|1,3*4*8|1,,,,N/A,N/A,N/A,,,,,
1*3*4*5*12|1,5*8|1,,,,N/A,N/A,N/A,,,,,
1*3*4*5*12|1,4*5*6*8|1,,,,N/A,N/A,N/A,,,,,
1*3*4*5*12|1,3*4*9|1,,,,N/A,N/A,N/A,,,,,
1*3*4*5*12|1,1*5*9|1,,,,N/A,N/A,N/A,,,,,
1*3*4*5*12|1,4*5*9|1,,,,N/A,N/A,N/A,,,,,
1*3*4*5*12|1,1*7*9|1,,,,N/A,N/A,N/A,,,,,
1*3*4*5*12|1,1*3*7*9|1,,,,N/A,N/A,N/A,,,,,
1*3*4*5*12|1,4*5*10|1,,,,N/A,N/A,N/A,,,,,
1*3*4*5*12|1,4*6*10|1,,,,N/A,N/A,N/A,,,,,
1*3*4*5*12|1,3*4*5*6*10|1,,,,N/A,N/A,N/A,,,,,
1*3*4*5*12|1,7*10|1,,,,N/A,N/A,N/A,,,,,
1*3*4*5*12|1,4*5*7*10|1,,,,N/A,N/A,N/A,,,,,
1*3*4*5*12|1,2*5*8*10|1,,,,N/A,N/A,N/A,,,,,
1*3*4*5*12|1,2*6*8*10|1,,,,N/A,N/A,N/A,,,,,
1*3*4*5*12|1,2*9*10|1,,,,N/A,N/A,N/A,,,,,
1*3*4*5*12|1,5*9*10|1,,,,N/A,N/A,N/A,,,,,
1*3*4*5*12|1,4*5*7*9*10|1,,,,N/A,N/A,N/A,,,,,
1*3*4*5*12|1,2*8*9*10|1,,,,N/A,N/A,N/A,,,,,
1*3*4*5*12|1,2*7*11|1,,,,N/A,N/A,N/A,,,,,
1*3*4*5*12|1,6*9*11|1,,,,N/A,N/A,N/A,,,,,
1*3*4*5*12|1,7*9*11|1,,,,N/A,N/A,N/A,,,,,
1*3*4*5*12|1,2*8*9*11|1,,,,N/A,N/A,N/A,,,,,
1*3*4*5*12|1,10*11|1,,,,N/A,N/A,N/A,,,,,
1*3*4*5*12|1,9*10*11|1,,,,N/A,N/A,N/A,,,,,
1*3*4*5*12|1,8*9*10*11|1,,,,N/A,N/A,N/A,,,,,
1*3*4*5*12|1,6*8*9*10*11|1,,,,N/A,N/A,N/A,,,,,
1*3*4*5*12|1,1*12|1,,,,N/A,N/A,N/A,,,,,
1*3*4*5*12|1,2*5*12|1,,,,N/A,N/A,N/A,,,,,
1*3*4*5*12|1,2*7*12|1,,,,N/A,N/A,N/A,,,,,
1*3*4*5*12|1,6*9*10*11*12|1,,,,N/A,N/A,N/A,,,,,
6*12|1,1*4|1,2,2,0,[6*12|1]~~{(+9)}~~>[6*9*12|1]~~{(-6)}~~>[9*12|1]~~{(+1  11)(-9)}~~>[1*11|1]~~{(+4)}~~>[1*4|1],[6*12|1]~>[6*9*12|1]~>[9*12|1]~>[1*11|1]~>[1*4|1],{(+9)}~{(-6)}~{(+1  11)(-9)}~{(+4)}~,64.0,4,4,2,0
6*12|1,6|1,,,,N/A,N/A,N/A,,,,,
6*12|1,1*6|1,1,1,0,[6*12|1]~~{(+1)}~~>[1*6|1],[6*12|1]~>[1*6|1],{(+1)}~,11.0,1,1,0,0
6*12|1,1*3*6|1,2,1,0,[6*12|1]~~{(+1  3)}~~>[1*3*6|1],[6*12|1]~>[1*3*6|1],{(+1  3)}~,12.0,1,2,0,0
6*12|1,4*6|1,,,,N/A,N/A,N/A,,,,,
6*12|1,1*3*4*6|1,3,1,0,[6*12|1]~~{(+1)}~~>[1*6|1]~~{(+3  4)}~~>[1*3*4*6|1],[6*12|1]~>[1*6|1]~>[1*3*4*6|1],{(+1)}~{(+3  4)}~,23.0,2,3,0,0
6*12|1,1*7|1,2,2,0,[6*12|1]~~{(+1  7)}~~>[1*6*7|1]~~{(-6)}~~>[1*7|1],[6*12|1]~>[1*6*7|1]~>[1*7|1],{(+1  7)}~{(-6)}~,32.0,2,2,1,0
6*12|1,2*7|1,2,2,0,[6*12|1]~~{(+9)}~~>[6*9*12|1]~~{(-6)}~~>[9*12|1]~~{(+7)(-9)}~~>[7|1]~~{(+2)}~~>[2*7|1],[6*12|1]~>[6*9*12|1]~>[9*12|1]~>[7|1]~>[2*7|1],{(+9)}~{(-6)}~{(+7)(-9)}~{(+2)}~,63.0,4,3,2,0
6*12|1,1*2*7|1,3,2,0,[6*12|1]~~{(+1  7)}~~>[1*6*7|1]~~{(+2)(-6)}~~>[1*2*7|1],[6*12|1]~>[1*6*7|1]~>[1*2*7|1],{(+1  7)}~{(+2)(-6)}~,33.0,2,3,1,0
6*12|1,1*5*7|1,3,2,0,[6*12|1]~~{(+1)}~~>[1*6|1]~~{(+5  7)}~~>[1*5*7|1],[6*12|1]~>[1*6|1]~>[1*5*7|1],{(+1)}~{(+5  7)}~,23.0,2,3,0,0
6*12|1,1*4*5*7|1,4,2,0,[6*12|1]~~{(+1  7)}~~>[1*6*7|1]~~{(+4  5)}~~>[1*4*5*7|1],[6*12|1]~>[1*6*7|1]~>[1*4*5*7|1],{(+1  7)}~{(+4  5)}~,24.0,2,4,0,0
6*12|1,6*7|1,1,1,0,[6*12|1]~~{(+7)}~~>[6*7|1],[6*12|1]~>[6*7|1],{(+7)}~,11.0,1,1,0,0
6*12|1,8|1,,,,N/A,N/A,N/A,,,,,
6*12|1,3*6*8|1,2,1,0,[6*12|1]~~{(+3  8)}~~>[3*6*8|1],[6*12|1]~>[3*6*8|1],{(+3  8)}~,12.0,1,2,0,0
6*12|1,3*5*6*8|1,3,1,0,[6*12|1]~~{(+8)}~~>[6*8|1]~~{(+3  5)}~~>[3*5*6*8|1],[6*12|1]~>[6*8|1]~>[3*5*6*8|1],{(+8)}~{(+3  5)}~,23.0,2,3,0,0
6*12|1,3*9|1,2,2,0,[6*12|1]~~{(+3  9)}~~>[3*9|1],[6*12|1]~>[3*9|1],{(+3  9)}~,12.0,1,2,0,0
6*12|1,1*3*9|1,3,2,0,[6*12|1]~~{(+1)}~~>[1*6|1]~~{(+3  9)}~~>[1*3*9|1],[6*12|1]~>[1*6|1]~>[1*3*9|1],{(+1)}~{(+3  9)}~,23.0,2,3,0,0
6*12|1,5*9|1,2,2,0,[6*12|1]~~{(+5  9)}~~>[5*9|1],[6*12|1]~>[5*9|1],{(+5  9)}~,12.0,1,2,0,0
6*12|1,3*5*9|1,3,2,0,[6*12|1]~~{(+3)}~~>[3*6*12|1]~~{(+5  9)}~~>[3*5*9|1],[6*12|1]~>[3*6*12|1]~>[3*5*9|1],{(+3)}~{(+5  9)}~,23.0,2,3,0,0
6*12|1,4*5*7*9|1,4,2,0,[6*12|1]~~{(+4  5)}~~>[4*5*12|1]~~{(+7  9)}~~>[4*5*7*9|1],[6*12|1]~>[4*5*12|1]~>[4*5*7*9|1],{(+4  5)}~{(+7  9)}~,24.0,2,4,0,0
6*12|1,6*8*9|1,2,1,0,[6*12|1]~~{(+8  9)}~~>[6*8*9|1],[6*12|1]~>[6*8*9|1],{(+8  9)}~,12.0,1,2,0,0
6*12|1,1*4*10|1,3,2,0,[6*12|1]~~{(+9)}~~>[6*9*12|1]~~{(-6)}~~>[9*12|1]~~{(+1  11)(-9)}~~>[1*11|1]~~{(+4  10)}~~>[1*4*10|1],[6*12|1]~>[6*9*12|1]~>[9*12|1]~>[1*11|1]~>[1*4*10|1],{(+9)}~{(-6)}~{(+1  11)(-9)}~{(+4  10)}~,65.0,4,5,2,0
6*12|1,4*5*10|1,,,,N/A,N/A,N/A,,,,,
6*12|1,6*10|1,,,,N/A,N/A,N/A,,,,,
6*12|1,2*6*10|1,,,,N/A,N/A,N/A,,,,,
6*12|1,3*4*5*6*10|1,,,,N/A,N/A,N/A,,,,,
6*12|1,7*10|1,2,2,0,[6*12|1]~~{(+9)}~~>[6*9*12|1]~~{(-6)}~~>[9*12|1]~~{(+7  10)(-9)}~~>[7*10|1],[6*12|1]~>[6*9*12|1]~>[9*12|1]~>[7*10|1],{(+9)}~{(-6)}~{(+7  10)(-9)}~,53.0,3,3,2,0
6*12|1,2*6*7*10|1,3,1,0,[6*12|1]~~{(+7)}~~>[6*7|1]~~{(+2  10)}~~>[2*6*7*10|1],[6*12|1]~>[6*7|1]~>[2*6*7*10|1],{(+7)}~{(+2  10)}~,23.0,2,3,0,0
6*12|1,4*8*10|1,,,,N/A,N/A,N/A,,,,,
6*12|1,5*8*10|1,3,2,0,[6*12|1]~~{(+8)}~~>[6*8|1]~~{(+5  10)}~~>[5*8*10|1],[6*12|1]~>[6*8|1]~>[5*8*10|1],{(+8)}~{(+5  10)}~,23.0,2,3,0,0
6*12|1,4*5*8*10|1,4,2,0,[6*12|1]~~{(+8)}~~>[6*8|1]~~{(+5)}~~>[5*8|1]~~{(+4  10)}~~>[4*5*8*10|1],[6*12|1]~>[6*8|1]~>[5*8|1]~>[4*5*8*10|1],{(+8)}~{(+5)}~{(+4  10)}~,34.0,3,4,0,0
6*12|1,3*4*5*6*8*10|1,5,1,0,[6*12|1]~~{(+4)}~~>[4*6*12|1]~~{(+8  10)}~~>[4*6*8*10|1]~~{(+3  5)}~~>[3*4*5*6*8*10|1],[6*12|1]~>[4*6*12|1]~>[4*6*8*10|1]~>[3*4*5*6*8*10|1],{(+4)}~{(+8  10)}~{(+3  5)}~,35.0,3,5,0,0
6*12|1,4*5*9*10|1,4,2,0,[6*12|1]~~{(+9  10)}~~>[6*9*10*12|1]~~{(+4  5)}~~>[4*5*9*10|1],[6*12|1]~>[6*9*10*12|1]~>[4*5*9*10|1],{(+9  10)}~{(+4  5)}~,24.0,2,4,0,0
6*12|1,7*9*10|1,3,2,0,[6*12|1]~~{(+7)}~~>[6*7|1]~~{(+9  10)}~~>[7*9*10|1],[6*12|1]~>[6*7|1]~>[7*9*10|1],{(+7)}~{(+9  10)}~,23.0,2,3,0,0
6*12|1,5*7*9*10|1,4,2,0,[6*12|1]~~{(+9  10)}~~>[6*9*10*12|1]~~{(+5  7)}~~>[5*7*9*10|1],[6*12|1]~>[6*9*10*12|1]~>[5*7*9*10|1],{(+9  10)}~{(+5  7)}~,24.0,2,4,0,0
6*12|1,4*5*7*9*10|1,5,2,0,[6*12|1]~~{(+4)}~~>[4*6*12|1]~~{(+9  10)}~~>[4*9*10|1]~~{(+5  7)}~~>[4*5*7*9*10|1],[6*12|1]~>[4*6*12|1]~>[4*9*10|1]~>[4*5*7*9*10|1],{(+4)}~{(+9  10)}~{(+5  7)}~,35.0,3,5,0,0
6*12|1,6*8*9*10|1,3,1,0,[6*12|1]~~{(+8)}~~>[6*8|1]~~{(+9  10)}~~>[6*8*9*10|1],[6*12|1]~>[6*8|1]~>[6*8*9*10|1],{(+8)}~{(+9  10)}~,23.0,2,3,0,0
6*12|1,7*11|1,2,2,0,[6*12|1]~~{(+9)}~~>[6*9*12|1]~~{(-6)}~~>[9*12|1]~~{(+7  11)(-9)}~~>[7*11|1],[6*12|1]~>[6*9*12|1]~>[9*12|1]~>[7*11|1],{(+9)}~{(-6)}~{(+7  11)(-9)}~,53.0,3,3,2,0
6*12|1,2*7*11|1,3,2,0,[6*12|1]~~{(+9)}~~>[6*9*12|1]~~{(-6)}~~>[9*12|1]~~{(+7)(-9)}~~>[7|1]~~{(+2  11)}~~>[2*7*11|1],[6*12|1]~>[6*9*12|1]~>[9*12|1]~>[7|1]~>[2*7*11|1],{(+9)}~{(-6)}~{(+7)(-9)}~{(+2  11)}~,64.0,4,4,2,0
6*12|1,1*9*11|1,3,2,0,[6*12|1]~~{(+1)}~~>[1*6|1]~~{(+9  11)}~~>[1*9*11|1],[6*12|1]~>[1*6|1]~>[1*9*11|1],{(+1)}~{(+9  11)}~,23.0,2,3,0,0
6*12|1,6*9*11|1,2,1,0,[6*12|1]~~{(+9  11)}~~>[6*9*11|1],[6*12|1]~>[6*9*11|1],{(+9  11)}~,12.0,1,2,0,0
6*12|1,7*9*11|1,3,2,0,[6*12|1]~~{(+7)}~~>[6*7|1]~~{(+9  11)}~~>[7*9*11|1],[6*12|1]~>[6*7|1]~>[7*9*11|1],{(+7)}~{(+9  11)}~,23.0,2,3,0,0
6*12|1,8*9*11|1,3,2,0,[6*12|1]~~{(+9)}~~>[6*9*12|1]~~{(+8  11)(-6)}~~>[8*9*11|1],[6*12|1]~>[6*9*12|1]~>[8*9*11|1],{(+9)}~{(+8  11)(-6)}~,33.0,2,3,1,0
6*12|1,10*11|1,,,,N/A,N/A,N/A,,,,,
6*12|1,9*10*11|1,3,2,0,[6*12|1]~~{(+9)}~~>[6*9*12|1]~~{(+10  11)(-6  12)}~~>[9*10*11|1],[6*12|1]~>[6*9*12|1]~>[9*10*11|1],{(+9)}~{(+10  11)(-6  12)}~,43.0,2,3,2,0
6*12|1,1*2*12|1,2,1,0,[6*12|1]~~{(+9)}~~>[6*9*12|1]~~{(-6)}~~>[9*12|1]~~{(+1  2)(-9)}~~>[1*2*12|1],[6*12|1]~>[6*9*12|1]~>[9*12|1]~>[1*2*12|1],{(+9)}~{(-6)}~{(+1  2)(-9)}~,53.0,3,3,2,0
6*12|1,1*3*4*12|1,3,1,0,[6*12|1]~~{(+5)}~~>[5*12|1]~~{(+3)}~~>[3*12|1]~~{(+1  4)}~~>[1*3*4*12|1],[6*12|1]~>[5*12|1]~>[3*12|1]~>[1*3*4*12|1],{(+5)}~{(+3)}~{(+1  4)}~,34.0,3,4,0,0
6*12|1,3*4*5*12|1,3,1,0,[6*12|1]~~{(+4)}~~>[4*6*12|1]~~{(+3  5)}~~>[3*4*5*12|1],[6*12|1]~>[4*6*12|1]~>[3*4*5*12|1],{(+4)}~{(+3  5)}~,23.0,2,3,0,0
6*12|1,4*6*12|1,1,0,0,[6*12|1]~~{(+4)}~~>[4*6*12|1],[6*12|1]~>[4*6*12|1],{(+4)}~,11.0,1,1,0,0
6*12|1,11*12|1,1,1,0,[6*12|1]~~{(+9)}~~>[6*9*12|1]~~{(-6)}~~>[9*12|1]~~{(+11)(-9)}~~>[11*12|1],[6*12|1]~>[6*9*12|1]~>[9*12|1]~>[11*12|1],{(+9)}~{(-6)}~{(+11)(-9)}~,52.0,3,2,2,0
6*12|1,6*9*10*11*12|1,3,0,0,[6*12|1]~~{(+9)}~~>[6*9*12|1]~~{(+10  11)}~~>[6*9*10*11*12|1],[6*12|1]~>[6*9*12|1]~>[6*9*10*11*12|1],{(+9)}~{(+10  11)}~,23.0,2,3,0,0
2*6*12|1,1*3|1,2,3,0,[2*6*12|1]~~{(+1  5)}~~>[1*2*5*12|1]~~{(+3)(-12)}~~>[1*3|1],[2*6*12|1]~>[1*2*5*12|1]~>[1*3|1],{(+1  5)}~{(+3)(-12)}~,33.0,2,3,1,0
2*6*12|1,1*6|1,,,,N/A,N/A,N/A,,,,,
2*6*12|1,1*2*6|1,1,1,0,[2*6*12|1]~~{(+1)}~~>[1*2*6|1],[2*6*12|1]~>[1*2*6|1],{(+1)}~,11.0,1,1,0,0
2*6*12|1,3*6|1,,,,N/A,N/A,N/A,,,,,
2*6*12|1,3*4*6|1,,,,N/A,N/A,N/A,,,,,
2*6*12|1,7|1,,,,N/A,N/A,N/A,,,,,
2*6*12|1,1*5*7|1,3,3,0,[2*6*12|1]~~{(+1)}~~>[1*2*6|1]~~{(+5  7)}~~>[1*5*7|1],[2*6*12|1]~>[1*2*6|1]~>[1*5*7|1],{(+1)}~{(+5  7)}~,23.0,2,3,0,0
2*6*12|1,4*5*7|1,3,3,0,[2*6*12|1]~~{(+4)}~~>[4*6*12|1]~~{(+5  7)}~~>[4*5*7|1],[2*6*12|1]~>[4*6*12|1]~>[4*5*7|1],{(+4)}~{(+5  7)}~,23.0,2,3,0,0
2*6*12|1,2*6*7|1,1,1,0,[2*6*12|1]~~{(+7)}~~>[2*6*7|1],[2*6*12|1]~>[2*6*7|1],{(+7)}~,11.0,1,1,0,0
2*6*12|1,1*4*6*7|1,3,2,0,[2*6*12|1]~~{(+1)}~~>[1*2*6|1]~~{(+4  7)}~~>[1*4*6*7|1],[2*6*12|1]~>[1*2*6|1]~>[1*4*6*7|1],{(+1)}~{(+4  7)}~,23.0,2,3,0,0
2*6*12|1,5*8|1,,,,N/A,N/A,N/A,,,,,
2*6*12|1,3*4*5*8|1,4,3,0,[2*6*12|1]~~{(+8)}~~>[2*6*8|1]~~{(+5)}~~>[2*5*8|1]~~{(+3  4)}~~>[3*4*5*8|1],[2*6*12|1]~>[2*6*8|1]~>[2*5*8|1]~>[3*4*5*8|1],{(+8)}~{(+5)}~{(+3  4)}~,34.0,3,4,0,0
2*6*12|1,5*9|1,,,,N/A,N/A,N/A,,,,,
2*6*12|1,3*5*9|1,3,3,0,[2*6*12|1]~~{(+9)}~~>[2*9|1]~~{(+3  5)}~~>[3*5*9|1],[2*6*12|1]~>[2*9|1]~>[3*5*9|1],{(+9)}~{(+3  5)}~,23.0,2,3,0,0
2*6*12|1,2*7*9|1,2,2,0,[2*6*12|1]~~{(+7  9)}~~>[2*7*9|1],[2*6*12|1]~>[2*7*9|1],{(+7  9)}~,12.0,1,2,0,0
2*6*12|1,1*2*7*9|1,3,2,0,[2*6*12|1]~~{(+1)}~~>[1*2*6|1]~~{(+7  9)}~~>[1*2*7*9|1],[2*6*12|1]~>[1*2*6|1]~>[1*2*7*9|1],{(+1)}~{(+7  9)}~,23.0,2,3,0,0
2*6*12|1,3*7*9|1,3,3,0,[2*6*12|1]~~{(+9)}~~>[2*9|1]~~{(+3  7)}~~>[3*7*9|1],[2*6*12|1]~>[2*9|1]~>[3*7*9|1],{(+9)}~{(+3  7)}~,23.0,2,3,0,0
2*6*12|1,10|1,,,,N/A,N/A,N/A,,,,,
2*6*12|1,2*10|1,,,,N/A,N/A,N/A,,,,,
2*6*12|1,5*10|1,,,,N/A,N/A,N/A,,,,,
2*6*12|1,4*5*10|1,,,,N/A,N/A,N/A,,,,,
2*6*12|1,2*6*7*10|1,2,1,0,[2*6*12|1]~~{(+7  10)}~~>[2*6*7*10|1],[2*6*12|1]~>[2*6*7*10|1],{(+7  10)}~,12.0,1,2,0,0
2*6*12|1,8*10|1,,,,N/A,N/A,N/A,,,,,
2*6*12|1,3*4*6*8*10|1,4,2,0,[2*6*12|1]~~{(+3  4)}~~>[3*4*6*12|1]~~{(+8  10)}~~>[3*4*6*8*10|1],[2*6*12|1]~>[3*4*6*12|1]~>[3*4*6*8*10|1],{(+3  4)}~{(+8  10)}~,24.0,2,4,0,0
2*6*12|1,3*4*9*10|1,4,3,0,[2*6*12|1]~~{(+4  9)}~~>[4*9|1]~~{(+3  10)}~~>[3*4*9*10|1],[2*6*12|1]~>[4*9|1]~>[3*4*9*10|1],{(+4  9)}~{(+3  10)}~,24.0,2,4,0,0
2*6*12|1,5*9*10|1,,,,N/A,N/A,N/A,,,,,
2*6*12|1,2*5*9*10|1,3,2,0,[2*6*12|1]~~{(+9)}~~>[2*9|1]~~{(+5  10)}~~>[2*5*9*10|1],[2*6*12|1]~>[2*9|1]~>[2*5*9*10|1],{(+9)}~{(+5  10)}~,23.0,2,3,0,0
2*6*12|1,6*9*10|1,,,,N/A,N/A,N/A,,,,,
2*6*12|1,1*2*11|1,,,,N/A,N/A,N/A,,,,,
2*6*12|1,8*11|1,,,,N/A,N/A,N/A,,,,,
2*6*12|1,2*8*11|1,,,,N/A,N/A,N/A,,,,,
