start,goal,net_add,net_del,net_temp,full_path,path,action,a_star_cost,a_star_ops,a_star_add,a_star_del,a_star_temp
6*9*10|1,1*2*4*5*8|1,5,3,0,[6*9*10|1]~~{(+1  2)}~~>[1*2*9*10|1]~~{(+4  5  8)(-9)}~~>[1*2*4*5*8|1],[6*9*10|1]~>[1*2*9*10|1]~>[1*2*4*5*8|1],{(+1  2)}~{(+4  5  8)(-9)}~,20.6,2,5,1,0
6*9*10|1,4*6*7*8|1,,,,N/A,N/A,N/A,,,,,
6*9*10|1,1*6*9|1,1,1,0,[6*9*10|1]~~{(+5  11)}~~>[5*6*9*11|1]~~{(+1)}~~>[1*6*9|1],[6*9*10|1]~>[5*6*9*11|1]~>[1*6*9|1],{(+5  11)}~{(+1)}~,20.299999999999997,2,3,0,0
6*9*10|1,3*6*9|1,,,,N/A,N/A,N/A,,,,,
6*9*10|1,1*2*4*5*6*9|1,4,1,0,[6*9*10|1]~~{(+1  2  4  5)}~~>[1*2*4*5*6*9|1],[6*9*10|1]~>[1*2*4*5*6*9|1],{(+1  2  4  5)}~,10.4,1,4,0,0
6*9*10|1,4*7*9|1,,,,N/A,N/A,N/A,,,,,
6*9*10|1,1*2*4*6*7*9|1,4,1,0,[6*9*10|1]~~{(+1  2  4  7)}~~>[1*2*4*6*7*9|1],[6*9*10|1]~>[1*2*4*6*7*9|1],{(+1  2  4  7)}~,10.4,1,4,0,0
6*9*10|1,4*6*7*8*9|1,3,1,0,[6*9*10|1]~~{(+4  7  8)}~~>[4*6*7*8*9|1],[6*9*10|1]~>[4*6*7*8*9|1],{(+4  7  8)}~,10.3,1,3,0,0
6*9*10|1,3*4*6*7*8*9|1,4,1,0,[6*9*10|1]~~{(+3  4  7  8)}~~>[3*4*6*7*8*9|1],[6*9*10|1]~>[3*4*6*7*8*9|1],{(+3  4  7  8)}~,10.4,1,4,0,0
6*9*10|1,1*4*5*6*7*8*9|1,5,1,0,[6*9*10|1]~~{(+1  4  5  7  8)}~~>[1*4*5*6*7*8*9|1],[6*9*10|1]~>[1*4*5*6*7*8*9|1],{(+1  4  5  7  8)}~,10.5,1,5,0,0
6*9*10|1,4*6*10|1,,,,N/A,N/A,N/A,,,,,
6*9*10|1,4*5*6*7*10|1,3,1,0,[6*9*10|1]~~{(+1  2)}~~>[1*2*9*10|1]~~{(+4  5  6  7)(-9)}~~>[4*5*6*7*10|1],[6*9*10|1]~>[1*2*9*10|1]~>[4*5*6*7*10|1],{(+1  2)}~{(+4  5  6  7)(-9)}~,20.7,2,6,1,0
6*9*10|1,2*5*6*9*10|1,2,0,0,[6*9*10|1]~~{(+2  5)}~~>[2*5*6*9*10|1],[6*9*10|1]~>[2*5*6*9*10|1],{(+2  5)}~,10.2,1,2,0,0
6*9*10|1,1*2*11|1,3,3,0,[6*9*10|1]~~{(+1  2)}~~>[1*2*9*10|1]~~{(+11)(-9  10)}~~>[1*2*11|1],[6*9*10|1]~>[1*2*9*10|1]~>[1*2*11|1],{(+1  2)}~{(+11)(-9  10)}~,20.5,2,3,2,0
6*9*10|1,5*11|1,2,3,0,[6*9*10|1]~~{(+1  2)}~~>[1*2*9*10|1]~~{(+5  11)(-9)}~~>[5*11|1],[6*9*10|1]~>[1*2*9*10|1]~>[5*11|1],{(+1  2)}~{(+5  11)(-9)}~,20.5,2,4,1,0
6*9*10|1,5*7*11|1,3,3,0,[6*9*10|1]~~{(+1  2)}~~>[1*2*9*10|1]~~{(+5  7  11)(-9  10)}~~>[5*7*11|1],[6*9*10|1]~>[1*2*9*10|1]~>[5*7*11|1],{(+1  2)}~{(+5  7  11)(-9  10)}~,20.7,2,5,2,0
6*9*10|1,2*4*8*11|1,,,,N/A,N/A,N/A,,,,,
6*9*10|1,1*2*4*5*6*9*11|1,5,1,0,[6*9*10|1]~~{(+1  2  4  5  11)}~~>[1*2*4*5*6*9*11|1],[6*9*10|1]~>[1*2*4*5*6*9*11|1],{(+1  2  4  5  11)}~,10.5,1,5,0,0
6*9*10|1,5*8*9*11|1,3,2,0,[6*9*10|1]~~{(+11)}~~>[9*10*11|1]~~{(+5  8)}~~>[5*8*9*11|1],[6*9*10|1]~>[9*10*11|1]~>[5*8*9*11|1],{(+11)}~{(+5  8)}~,20.299999999999997,2,3,0,0
1*6*9*10|1,3*6|1,,,,N/A,N/A,N/A,,,,,
1*6*9*10|1,2*4*5*6|1,,,,N/A,N/A,N/A,,,,,
1*6*9*10|1,1*5*6*7|1,,,,N/A,N/A,N/A,,,,,
1*6*9*10|1,2*4*7*8|1,,,,N/A,N/A,N/A,,,,,
1*6*9*10|1,1*4*6*7*8|1,,,,N/A,N/A,N/A,,,,,
1*6*9*10|1,3*4*5*6*7*9|1,4,2,0,[1*6*9*10|1]~~{(+2)}~~>[1*2*9*10|1]~~{(+4  5  7)(-9)}~~>[4*5*7*10|1]~~{(+3  6  9)}~~>[3*4*5*6*7*9|1],[1*6*9*10|1]~>[1*2*9*10|1]~>[4*5*7*10|1]~>[3*4*5*6*7*9|1],{(+2)}~{(+4  5  7)(-9)}~{(+3  6  9)}~,30.8,3,7,1,0
1*6*9*10|1,1*8*9|1,1,2,0,[1*6*9*10|1]~~{(+2)}~~>[1*2*9*10|1]~~{(+5  11)(-9)}~~>[5*11|1]~~{(+1  9)}~~>[1*9|1]~~{(+8)}~~>[1*8*9|1],[1*6*9*10|1]~>[1*2*9*10|1]~>[5*11|1]~>[1*9|1]~>[1*8*9|1],{(+2)}~{(+5  11)(-9)}~{(+1  9)}~{(+8)}~,40.699999999999996,4,6,1,0
1*6*9*10|1,1*4*10|1,,,,N/A,N/A,N/A,,,,,
1*6*9*10|1,6*10|1,,,,N/A,N/A,N/A,,,,,
1*6*9*10|1,2*4*6*10|1,,,,N/A,N/A,N/A,,,,,
1*6*9*10|1,1*2*4*6*10|1,2,1,0,[1*6*9*10|1]~~{(+2)}~~>[1*2*9*10|1]~~{(+4  6)(-9)}~~>[1*2*4*6*10|1],[1*6*9*10|1]~>[1*2*9*10|1]~>[1*2*4*6*10|1],{(+2)}~{(+4  6)(-9)}~,20.4,2,3,1,0
1*6*9*10|1,4*9*10|1,,,,N/A,N/A,N/A,,,,,
1*6*9*10|1,11|1,,,,N/A,N/A,N/A,,,,,
1*6*9*10|1,4*6*11|1,,,,N/A,N/A,N/A,,,,,
1*6*9*10|1,4*8*11|1,,,,N/A,N/A,N/A,,,,,
1*6*9*10|1,4*5*6*7*8*11|1,5,3,0,[1*6*9*10|1]~~{(+2)}~~>[1*2*9*10|1]~~{(+4  5  6  7  8  11)(-9)}~~>[4*5*6*7*8*11|1],[1*6*9*10|1]~>[1*2*9*10|1]~>[4*5*6*7*8*11|1],{(+2)}~{(+4  5  6  7  8  11)(-9)}~,20.799999999999997,2,7,1,0
1*6*9*10|1,3*4*5*7*9*11|1,5,3,0,[1*6*9*10|1]~~{(+2)}~~>[1*2*9*10|1]~~{(+5  11)(-9)}~~>[5*11|1]~~{(+3  4  7  9)}~~>[3*4*5*7*9*11|1],[1*6*9*10|1]~>[1*2*9*10|1]~>[5*11|1]~>[3*4*5*7*9*11|1],{(+2)}~{(+5  11)(-9)}~{(+3  4  7  9)}~,30.799999999999997,3,7,1,0
1*6*9*10|1,4*6*8*9*11|1,3,2,0,[1*6*9*10|1]~~{(+2)}~~>[1*2*9*10|1]~~{(+4  7  8  11)(-9  10)}~~>[4*7*8*11|1]~~{(+6  9)}~~>[4*6*8*9*11|1],[1*6*9*10|1]~>[1*2*9*10|1]~>[4*7*8*11|1]~>[4*6*8*9*11|1],{(+2)}~{(+4  7  8  11)(-9  10)}~{(+6  9)}~,30.9,3,7,2,0
1*6*9*10|1,2*4*6*10*11|1,,,,N/A,N/A,N/A,,,,,
2*6*9*10|1,1*4*6|1,,,,N/A,N/A,N/A,,,,,
2*6*9*10|1,1*2*4*6|1,2,2,0,[2*6*9*10|1]~~{(+1)}~~>[1*2*9*10|1]~~{(+4  6)(-9  10)}~~>[1*2*4*6|1],[2*6*9*10|1]~>[1*2*9*10|1]~>[1*2*4*6|1],{(+1)}~{(+4  6)(-9  10)}~,20.5,2,3,2,0
2*6*9*10|1,8|1,,,,N/A,N/A,N/A,,,,,
2*6*9*10|1,2*6*8|1,,,,N/A,N/A,N/A,,,,,
2*6*9*10|1,1*7*8|1,,,,N/A,N/A,N/A,,,,,
2*6*9*10|1,4*5*9|1,,,,N/A,N/A,N/A,,,,,
2*6*9*10|1,2*4*5*9|1,,,,N/A,N/A,N/A,,,,,
2*6*9*10|1,3*4*6*9|1,,,,N/A,N/A,N/A,,,,,
2*6*9*10|1,5*7*8*9|1,,,,N/A,N/A,N/A,,,,,
2*6*9*10|1,2*4*7*10|1,,,,N/A,N/A,N/A,,,,,
2*6*9*10|1,1*5*7*10|1,,,,N/A,N/A,N/A,,,,,
2*6*9*10|1,1*4*6*7*8*10|1,,,,N/A,N/A,N/A,,,,,
2*6*9*10|1,3*4*7*11|1,,,,N/A,N/A,N/A,,,,,
2*6*9*10|1,5*7*11|1,3,4,0,[2*6*9*10|1]~~{(+1)}~~>[1*2*9*10|1]~~{(+5  7  11)(-9  10)}~~>[5*7*11|1],[2*6*9*10|1]~>[1*2*9*10|1]~>[5*7*11|1],{(+1)}~{(+5  7  11)(-9  10)}~,20.6,2,4,2,0
2*6*9*10|1,6*8*11|1,,,,N/A,N/A,N/A,,,,,
2*6*9*10|1,4*7*8*11|1,4,4,0,[2*6*9*10|1]~~{(+1)}~~>[1*2*9*10|1]~~{(+4  7  8  11)(-9  10)}~~>[4*7*8*11|1],[2*6*9*10|1]~>[1*2*9*10|1]~>[4*7*8*11|1],{(+1)}~{(+4  7  8  11)(-9  10)}~,20.7,2,5,2,0
2*6*9*10|1,4*5*6*9*11|1,3,2,0,[2*6*9*10|1]~~{(+4  5  11)}~~>[4*5*6*9*11|1],[2*6*9*10|1]~>[4*5*6*9*11|1],{(+4  5  11)}~,10.3,1,3,0,0
2*6*9*10|1,2*5*8*9*11|1,3,2,0,[2*6*9*10|1]~~{(+11)}~~>[2*9*10*11|1]~~{(+5  8)}~~>[2*5*8*9*11|1],[2*6*9*10|1]~>[2*9*10*11|1]~>[2*5*8*9*11|1],{(+11)}~{(+5  8)}~,20.299999999999997,2,3,0,0
2*6*9*10|1,1*2*10*11|1,2,2,0,[2*6*9*10|1]~~{(+1)}~~>[1*2*9*10|1]~~{(+11)(-9)}~~>[1*2*10*11|1],[2*6*9*10|1]~>[1*2*9*10|1]~>[1*2*10*11|1],{(+1)}~{(+11)(-9)}~,20.299999999999997,2,2,1,0
2*6*9*10|1,2*4*6*8*10*11|1,,,,N/A,N/A,N/A,,,,,
2*6*9*10|1,3*4*9*10*11|1,3,2,0,[2*6*9*10|1]~~{(+1)}~~>[1*2*9*10|1]~~{(+4  7  11)(-9)}~~>[2*4*7*10*11|1]~~{(+3  9)(-2)}~~>[3*4*9*10*11|1],[2*6*9*10|1]~>[1*2*9*10|1]~>[2*4*7*10*11|1]~>[3*4*9*10*11|1],{(+1)}~{(+4  7  11)(-9)}~{(+3  9)(-2)}~,30.8,3,6,2,0
3*6*9*10|1,1*4*6|1,,,,N/A,N/A,N/A,,,,,
3*6*9*10|1,2*4*6|1,,,,N/A,N/A,N/A,,,,,
3*6*9*10|1,3*4*7|1,,,,N/A,N/A,N/A,,,,,
3*6*9*10|1,1*4*8|1,,,,N/A,N/A,N/A,,,,,
3*6*9*10|1,1*4*5*8|1,,,,N/A,N/A,N/A,,,,,
3*6*9*10|1,2*7*8|1,,,,N/A,N/A,N/A,,,,,
3*6*9*10|1,2*9|1,,,,N/A,N/A,N/A,,,,,
3*6*9*10|1,3*6*9|1,,,,N/A,N/A,N/A,,,,,
3*6*9*10|1,1*4*6*9|1,2,2,0,[3*6*9*10|1]~~{(+5  8  11)}~~>[5*6*8*9*11|1]~~{(+1)(-8)}~~>[1*6*9|1]~~{(+4)}~~>[1*4*6*9|1],[3*6*9*10|1]~>[5*6*8*9*11|1]~>[1*6*9|1]~>[1*4*6*9|1],{(+5  8  11)}~{(+1)(-8)}~{(+4)}~,30.6,3,5,1,0
3*6*9*10|1,1*2*4*5*6*9|1,4,2,0,[3*6*9*10|1]~~{(+2)}~~>[2*6*9*10|1]~~{(+1  4  5)}~~>[1*2*4*5*6*9|1],[3*6*9*10|1]~>[2*6*9*10|1]~>[1*2*4*5*6*9|1],{(+2)}~{(+1  4  5)}~,20.4,2,4,0,0
3*6*9*10|1,1*2*4*6*7*9|1,4,2,0,[3*6*9*10|1]~~{(+2)}~~>[2*6*9*10|1]~~{(+1  4  7)}~~>[1*2*4*6*7*9|1],[3*6*9*10|1]~>[2*6*9*10|1]~>[1*2*4*6*7*9|1],{(+2)}~{(+1  4  7)}~,20.4,2,4,0,0
3*6*9*10|1,2*4*8*9|1,,,,N/A,N/A,N/A,,,,,
3*6*9*10|1,2*4*7*8*9|1,,,,N/A,N/A,N/A,,,,,
3*6*9*10|1,3*4*6*10|1,,,,N/A,N/A,N/A,,,,,
3*6*9*10|1,6*9*10|1,,,,N/A,N/A,N/A,,,,,
3*6*9*10|1,3*4*6*9*10|1,1,0,0,[3*6*9*10|1]~~{(+4)}~~>[3*4*6*9*10|1],[3*6*9*10|1]~>[3*4*6*9*10|1],{(+4)}~,10.1,1,1,0,0
3*6*9*10|1,1*4*6*7*9*10|1,3,1,0,[3*6*9*10|1]~~{(+5  8  11)}~~>[5*6*8*9*11|1]~~{(+1)(-8)}~~>[1*6*9|1]~~{(+4  7  10)}~~>[1*4*6*7*9*10|1],[3*6*9*10|1]~>[5*6*8*9*11|1]~>[1*6*9|1]~>[1*4*6*7*9*10|1],{(+5  8  11)}~{(+1)(-8)}~{(+4  7  10)}~,30.8,3,7,1,0
3*6*9*10|1,5*6*11|1,2,3,0,[3*6*9*10|1]~~{(+2)}~~>[2*6*9*10|1]~~{(+1)}~~>[1*2*9*10|1]~~{(+5  6  11)(-9)}~~>[5*6*11|1],[3*6*9*10|1]~>[2*6*9*10|1]~>[1*2*9*10|1]~>[5*6*11|1],{(+2)}~{(+1)}~{(+5  6  11)(-9)}~,30.6,3,5,1,0
3*6*9*10|1,5*6*7*11|1,3,3,0,[3*6*9*10|1]~~{(+2)}~~>[2*6*9*10|1]~~{(+1)}~~>[1*2*9*10|1]~~{(+5  6  7  11)(-9  10)}~~>[5*6*7*11|1],[3*6*9*10|1]~>[2*6*9*10|1]~>[1*2*9*10|1]~>[5*6*7*11|1],{(+2)}~{(+1)}~{(+5  6  7  11)(-9  10)}~,30.799999999999997,3,6,2,0
3*6*9*10|1,1*2*4*8*11|1,5,4,0,[3*6*9*10|1]~~{(+2)}~~>[2*6*9*10|1]~~{(+1)}~~>[1*2*9*10|1]~~{(+4  8  11)(-9)}~~>[1*2*4*8*11|1],[3*6*9*10|1]~>[2*6*9*10|1]~>[1*2*9*10|1]~>[1*2*4*8*11|1],{(+2)}~{(+1)}~{(+4  8  11)(-9)}~,30.6,3,5,1,0
3*6*9*10|1,4*6*9*11|1,,,,N/A,N/A,N/A,,,,,
3*6*9*10|1,1*2*5*8*9*11|1,5,3,0,[3*6*9*10|1]~~{(+2  11)}~~>[2*9*10*11|1]~~{(+1  5  8)}~~>[1*2*5*8*9*11|1],[3*6*9*10|1]~>[2*9*10*11|1]~>[1*2*5*8*9*11|1],{(+2  11)}~{(+1  5  8)}~,20.5,2,5,0,0
3*6*9*10|1,3*7*10*11|1,,,,N/A,N/A,N/A,,,,,
3*6*9*10|1,4*9*10*11|1,2,2,0,[3*6*9*10|1]~~{(+2)}~~>[2*6*9*10|1]~~{(+1)}~~>[1*2*9*10|1]~~{(+4  7  11)(-9)}~~>[2*4*7*10*11|1]~~{(+9)(-2)}~~>[4*9*10*11|1],[3*6*9*10|1]~>[2*6*9*10|1]~>[1*2*9*10|1]~>[2*4*7*10*11|1]~>[4*9*10*11|1],{(+2)}~{(+1)}~{(+4  7  11)(-9)}~{(+9)(-2)}~,40.8,4,6,2,0
3*6*9*10|1,4*6*9*10*11|1,2,1,0,[3*6*9*10|1]~~{(+2)}~~>[2*6*9*10|1]~~{(+1)}~~>[1*2*9*10|1]~~{(+4  7  11)(-9)}~~>[2*4*7*10*11|1]~~{(+6  9)(-2)}~~>[4*6*9*10*11|1],[3*6*9*10|1]~>[2*6*9*10|1]~>[1*2*9*10|1]~>[2*4*7*10*11|1]~>[4*6*9*10*11|1],{(+2)}~{(+1)}~{(+4  7  11)(-9)}~{(+6  9)(-2)}~,40.900000000000006,4,7,2,0
4*6*9*10|1,6|1,,,,N/A,N/A,N/A,,,,,
4*6*9*10|1,1*4*6|1,,,,N/A,N/A,N/A,,,,,
4*6*9*10|1,4*5*7|1,,,,N/A,N/A,N/A,,,,,
4*6*9*10|1,4*6*7|1,,,,N/A,N/A,N/A,,,,,
4*6*9*10|1,1*2*4*6*7|1,,,,N/A,N/A,N/A,,,,,
4*6*9*10|1,1*8|1,,,,N/A,N/A,N/A,,,,,
4*6*9*10|1,3*8|1,,,,N/A,N/A,N/A,,,,,
4*6*9*10|1,2*3*4*5*8|1,,,,N/A,N/A,N/A,,,,,
4*6*9*10|1,1*2*4*7*8|1,,,,N/A,N/A,N/A,,,,,
4*6*9*10|1,6*7*8|1,,,,N/A,N/A,N/A,,,,,
4*6*9*10|1,6*9|1,,,,N/A,N/A,N/A,,,,,
4*6*9*10|1,1*2*4*7*9|1,,,,N/A,N/A,N/A,,,,,
4*6*9*10|1,5*6*8*9|1,,,,N/A,N/A,N/A,,,,,
4*6*9*10|1,6*10|1,,,,N/A,N/A,N/A,,,,,
4*6*9*10|1,2*4*7*10|1,,,,N/A,N/A,N/A,,,,,
4*6*9*10|1,5*6*7*10|1,,,,N/A,N/A,N/A,,,,,
4*6*9*10|1,3*5*9*10|1,,,,N/A,N/A,N/A,,,,,
4*6*9*10|1,4*7*9*10|1,,,,N/A,N/A,N/A,,,,,
4*6*9*10|1,2*11|1,,,,N/A,N/A,N/A,,,,,
4*6*9*10|1,8*11|1,,,,N/A,N/A,N/A,,,,,
4*6*9*10|1,7*8*11|1,,,,N/A,N/A,N/A,,,,,
4*6*9*10|1,5*7*8*11|1,,,,N/A,N/A,N/A,,,,,
4*6*9*10|1,2*6*7*8*11|1,,,,N/A,N/A,N/A,,,,,
4*6*9*10|1,9*11|1,,,,N/A,N/A,N/A,,,,,
4*6*9*10|1,3*5*9*11|1,,,,N/A,N/A,N/A,,,,,
4*6*9*10|1,3*4*5*7*9*11|1,4,2,0,[4*6*9*10|1]~~{(+3  11)}~~>[3*4*9*10*11|1]~~{(+5  7)}~~>[3*4*5*7*9*11|1],[4*6*9*10|1]~>[3*4*9*10*11|1]~>[3*4*5*7*9*11|1],{(+3  11)}~{(+5  7)}~,20.4,2,4,0,0
4*6*9*10|1,1*2*4*6*9*10*11|1,3,0,0,[4*6*9*10|1]~~{(+1  2  11)}~~>[1*2*4*6*9*10*11|1],[4*6*9*10|1]~>[1*2*4*6*9*10*11|1],{(+1  2  11)}~,10.3,1,3,0,0
4*6*9*10|1,1*2*5*6*9*10*11|1,,,,N/A,N/A,N/A,,,,,
1*4*6*9*10|1,1*2*4|1,,,,N/A,N/A,N/A,,,,,
1*4*6*9*10|1,1*2*4*6|1,,,,N/A,N/A,N/A,,,,,
1*4*6*9*10|1,3*5*7|1,,,,N/A,N/A,N/A,,,,,
1*4*6*9*10|1,3*5*8|1,,,,N/A,N/A,N/A,,,,,
1*4*6*9*10|1,3*6*8|1,,,,N/A,N/A,N/A,,,,,
1*4*6*9*10|1,1*2*4*6*8|1,,,,N/A,N/A,N/A,,,,,
1*4*6*9*10|1,9|1,,,,N/A,N/A,N/A,,,,,
1*4*6*9*10|1,4*9|1,,,,N/A,N/A,N/A,,,,,
1*4*6*9*10|1,3*5*9|1,,,,N/A,N/A,N/A,,,,,
1*4*6*9*10|1,3*4*8*9|1,,,,N/A,N/A,N/A,,,,,
1*4*6*9*10|1,5*6*8*9|1,,,,N/A,N/A,N/A,,,,,
1*4*6*9*10|1,4*10|1,,,,N/A,N/A,N/A,,,,,
1*4*6*9*10|1,1*2*4*7*10|1,,,,N/A,N/A,N/A,,,,,
1*4*6*9*10|1,2*6*9*10|1,,,,N/A,N/A,N/A,,,,,
1*4*6*9*10|1,5*6*9*10|1,,,,N/A,N/A,N/A,,,,,
1*4*6*9*10|1,3*11|1,,,,N/A,N/A,N/A,,,,,
1*4*6*9*10|1,3*4*11|1,,,,N/A,N/A,N/A,,,,,
1*4*6*9*10|1,2*3*4*6*7*11|1,,,,N/A,N/A,N/A,,,,,
1*4*6*9*10|1,8*11|1,,,,N/A,N/A,N/A,,,,,
1*4*6*9*10|1,1*2*4*6*8*11|1,,,,N/A,N/A,N/A,,,,,
1*4*6*9*10|1,2*4*8*10*11|1,,,,N/A,N/A,N/A,,,,,
1*4*6*9*10|1,4*7*8*10*11|1,,,,N/A,N/A,N/A,,,,,
2*4*6*9*10|1,1*3*4|1,2,4,0,[2*4*6*9*10|1]~~{(+1  3)}~~>[1*3*4|1],[2*4*6*9*10|1]~>[1*3*4|1],{(+1  3)}~,10.2,1,2,0,0
2*4*6*9*10|1,2*4*7|1,,,,N/A,N/A,N/A,,,,,
2*4*6*9*10|1,4*5*7|1,,,,N/A,N/A,N/A,,,,,
2*4*6*9*10|1,3*5*6*8|1,,,,N/A,N/A,N/A,,,,,
2*4*6*9*10|1,2*4*5*6*8|1,,,,N/A,N/A,N/A,,,,,
2*4*6*9*10|1,2*5*8*9|1,,,,N/A,N/A,N/A,,,,,
2*4*6*9*10|1,4*6*8*9|1,,,,N/A,N/A,N/A,,,,,
2*4*6*9*10|1,1*4*6*7*8*9|1,,,,N/A,N/A,N/A,,,,,
2*4*6*9*10|1,3*4*6*7*8*9|1,,,,N/A,N/A,N/A,,,,,
2*4*6*9*10|1,5*9*10|1,,,,N/A,N/A,N/A,,,,,
2*4*6*9*10|1,6*9*10|1,,,,N/A,N/A,N/A,,,,,
2*4*6*9*10|1,2*4*7*9*10|1,,,,N/A,N/A,N/A,,,,,
2*4*6*9*10|1,1*4*5*7*9*10|1,3,2,0,[2*4*6*9*10|1]~~{(+11)}~~>[2*4*9*10*11|1]~~{(+5  7)}~~>[4*5*7*9*11|1]~~{(+1  10)}~~>[1*4*5*7*9*10|1],[2*4*6*9*10|1]~>[2*4*9*10*11|1]~>[4*5*7*9*11|1]~>[1*4*5*7*9*10|1],{(+11)}~{(+5  7)}~{(+1  10)}~,30.499999999999996,3,5,0,0
2*4*6*9*10|1,2*5*6*9*11|1,,,,N/A,N/A,N/A,,,,,
2*4*6*9*10|1,2*5*8*9*11|1,,,,N/A,N/A,N/A,,,,,
2*4*6*9*10|1,6*7*10*11|1,,,,N/A,N/A,N/A,,,,,
2*4*6*9*10|1,7*8*10*11|1,,,,N/A,N/A,N/A,,,,,
2*4*6*9*10|1,4*6*9*10*11|1,,,,N/A,N/A,N/A,,,,,
2*4*6*9*10|1,3*8*9*10*11|1,,,,N/A,N/A,N/A,,,,,
2*4*6*9*10|1,4*6*8*9*10*11|1,,,,N/A,N/A,N/A,,,,,
3*4*6*9*10|1,2|1,,,,N/A,N/A,N/A,,,,,
3*4*6*9*10|1,1*4*5*6|1,,,,N/A,N/A,N/A,,,,,
3*4*6*9*10|1,3*6*7*8|1,,,,N/A,N/A,N/A,,,,,
3*4*6*9*10|1,2*4*6*7*8|1,,,,N/A,N/A,N/A,,,,,
3*4*6*9*10|1,3*6*9|1,,,,N/A,N/A,N/A,,,,,
3*4*6*9*10|1,3*4*5*6*7*9|1,2,1,0,[3*4*6*9*10|1]~~{(+5  7)}~~>[3*4*5*6*7*9|1],[3*4*6*9*10|1]~>[3*4*5*6*7*9|1],{(+5  7)}~,10.2,1,2,0,0
3*4*6*9*10|1,5*8*9|1,,,,N/A,N/A,N/A,,,,,
3*4*6*9*10|1,2*4*10|1,,,,N/A,N/A,N/A,,,,,
3*4*6*9*10|1,1*2*4*6*10|1,,,,N/A,N/A,N/A,,,,,
3*4*6*9*10|1,3*4*6*10|1,,,,N/A,N/A,N/A,,,,,
3*4*6*9*10|1,1*5*6*10|1,,,,N/A,N/A,N/A,,,,,
3*4*6*9*10|1,4*6*7*8*10|1,,,,N/A,N/A,N/A,,,,,
3*4*6*9*10|1,3*4*7*9*10|1,,,,N/A,N/A,N/A,,,,,
3*4*6*9*10|1,1*2*8*11|1,,,,N/A,N/A,N/A,,,,,
3*4*6*9*10|1,4*8*11|1,,,,N/A,N/A,N/A,,,,,
3*4*6*9*10|1,3*6*7*8*11|1,,,,N/A,N/A,N/A,,,,,
3*4*6*9*10|1,1*2*4*9*11|1,3,3,0,[3*4*6*9*10|1]~~{(+2  11)}~~>[2*4*9*10*11|1]~~{(+1)}~~>[1*2*4*9*10*11|1]~~{(-10)}~~>[1*2*4*9*11|1],[3*4*6*9*10|1]~>[2*4*9*10*11|1]~>[1*2*4*9*10*11|1]~>[1*2*4*9*11|1],{(+2  11)}~{(+1)}~{(-10)}~,30.4,3,3,1,0
3*4*6*9*10|1,3*5*8*9*11|1,,,,N/A,N/A,N/A,,,,,
3*4*6*9*10|1,4*9*10*11|1,,,,N/A,N/A,N/A,,,,,
5*6*9*10|1,1*2*4|1,3,4,0,[5*6*9*10|1]~~{(+1  2)}~~>[1*2*9*10|1]~~{(+4)(-9  10)}~~>[1*2*4|1],[5*6*9*10|1]~>[1*2*9*10|1]~>[1*2*4|1],{(+1  2)}~{(+4)(-9  10)}~,20.5,2,3,2,0
5*6*9*10|1,6|1,,,,N/A,N/A,N/A,,,,,
5*6*9*10|1,3*8|1,,,,N/A,N/A,N/A,,,,,
5*6*9*10|1,1*7*8|1,,,,N/A,N/A,N/A,,,,,
5*6*9*10|1,3*4*7*8|1,,,,N/A,N/A,N/A,,,,,
5*6*9*10|1,3*5*9|1,,,,N/A,N/A,N/A,,,,,
5*6*9*10|1,2*6*9|1,,,,N/A,N/A,N/A,,,,,
5*6*9*10|1,10|1,,,,N/A,N/A,N/A,,,,,
5*6*9*10|1,3*9*10|1,,,,N/A,N/A,N/A,,,,,
5*6*9*10|1,4*6*9*10|1,,,,N/A,N/A,N/A,,,,,
5*6*9*10|1,2*11|1,,,,N/A,N/A,N/A,,,,,
5*6*9*10|1,4*5*6*11|1,2,2,0,[5*6*9*10|1]~~{(+1  2)}~~>[1*2*9*10|1]~~{(+4  5  6  11)(-9)}~~>[4*5*6*11|1],[5*6*9*10|1]~>[1*2*9*10|1]~>[4*5*6*11|1],{(+1  2)}~{(+4  5  6  11)(-9)}~,20.7,2,6,1,0
5*6*9*10|1,8*11|1,,,,N/A,N/A,N/A,,,,,
5*6*9*10|1,2*8*11|1,,,,N/A,N/A,N/A,,,,,
5*6*9*10|1,5*6*8*11|1,2,2,0,[5*6*9*10|1]~~{(+1  2)}~~>[1*2*9*10|1]~~{(+5  6  8  11)(-9)}~~>[5*6*8*11|1],[5*6*9*10|1]~>[1*2*9*10|1]~>[5*6*8*11|1],{(+1  2)}~{(+5  6  8  11)(-9)}~,20.7,2,6,1,0
5*6*9*10|1,1*2*5*9*11|1,3,2,0,[5*6*9*10|1]~~{(+11)}~~>[5*6*9*11|1]~~{(+1  2)}~~>[1*2*5*9*11|1],[5*6*9*10|1]~>[5*6*9*11|1]~>[1*2*5*9*11|1],{(+11)}~{(+1  2)}~,20.299999999999997,2,3,0,0
5*6*9*10|1,1*2*4*5*9*11|1,4,2,0,[5*6*9*10|1]~~{(+1  2)}~~>[1*2*9*10|1]~~{(+4  5  11)}~~>[1*2*4*5*9*11|1],[5*6*9*10|1]~>[1*2*9*10|1]~>[1*2*4*5*9*11|1],{(+1  2)}~{(+4  5  11)}~,20.5,2,5,0,0
