start,goal,net_add,net_del,net_temp,full_path,path,action,a_star_cost,a_star_ops,a_star_add,a_star_del,a_star_temp
1*2*4*6*10*11|1,2*5*8*9|1,,,,N/A,N/A,N/A,,,,,
1*2*4*6*10*11|1,3*5*8*9|1,,,,N/A,N/A,N/A,,,,,
1*2*4*6*10*11|1,1*4*5*6*7*8*9|1,4,3,0,[1*2*4*6*10*11|1]~~{(+5)}~~>[4*5*6*11|1]~~{(+1  9)}~~>[1*4*5*6*9|1]~~{(+7  8)}~~>[1*4*5*6*7*8*9|1],[1*2*4*6*10*11|1]~>[4*5*6*11|1]~>[1*4*5*6*9|1]~>[1*4*5*6*7*8*9|1],{(+5)}~{(+1  9)}~{(+7  8)}~,35.0,3,5,0,0
1*2*4*6*10*11|1,3*10|1,,,,N/A,N/A,N/A,,,,,
1*2*4*6*10*11|1,1*4*10|1,,,,N/A,N/A,N/A,,,,,
1*2*4*6*10*11|1,4*9*10|1,,,,N/A,N/A,N/A,,,,,
1*2*4*6*10*11|1,5*6*11|1,1,4,0,[1*2*4*6*10*11|1]~~{(+5)}~~>[4*5*6*11|1]~~{(-4)}~~>[5*6*11|1],[1*2*4*6*10*11|1]~>[4*5*6*11|1]~>[5*6*11|1],{(+5)}~{(-4)}~,31.0,2,1,1,0
1*2*4*6*10*11|1,8*11|1,,,,N/A,N/A,N/A,,,,,
7*10*11|1,3*4*5*8|1,,,,N/A,N/A,N/A,,,,,
7*10*11|1,3*4*6*8|1,,,,N/A,N/A,N/A,,,,,
7*10*11|1,1*7*8|1,2,2,0,[7*10*11|1]~~{(+1  8)}~~>[1*7*8|1],[7*10*11|1]~>[1*7*8|1],{(+1  8)}~,12.0,1,2,0,0
7*10*11|1,4*9|1,,,,N/A,N/A,N/A,,,,,
7*10*11|1,1*4*9|1,3,3,0,[7*10*11|1]~~{(+5  9)}~~>[5*9*11|1]~~{(+1)}~~>[1*9|1]~~{(+4)}~~>[1*4*9|1],[7*10*11|1]~>[5*9*11|1]~>[1*9|1]~>[1*4*9|1],{(+5  9)}~{(+1)}~{(+4)}~,34.0,3,4,0,0
7*10*11|1,3*4*5*9|1,4,3,0,[7*10*11|1]~~{(+1)}~~>[1*7*10|1]~~{(+5)}~~>[1*5*7*10|1]~~{(+9)(-1)}~~>[5*9*10|1]~~{(+3  4)}~~>[3*4*5*9|1],[7*10*11|1]~>[1*7*10|1]~>[1*5*7*10|1]~>[5*9*10|1]~>[3*4*5*9|1],{(+1)}~{(+5)}~{(+9)(-1)}~{(+3  4)}~,55.0,4,5,1,0
7*10*11|1,2*8*9|1,,,,N/A,N/A,N/A,,,,,
7*10*11|1,2*6*10|1,,,,N/A,N/A,N/A,,,,,
7*10*11|1,2*4*6*7*10|1,,,,N/A,N/A,N/A,,,,,
7*10*11|1,1*2*4*7*11|1,3,1,0,[7*10*11|1]~~{(+1  8)}~~>[1*7*8|1]~~{(+4)}~~>[1*4*7*8|1]~~{(+2  11)(-8)}~~>[1*2*4*7*11|1],[7*10*11|1]~>[1*7*8|1]~>[1*4*7*8|1]~>[1*2*4*7*11|1],{(+1  8)}~{(+4)}~{(+2  11)(-8)}~,45.0,3,5,1,0
7*10*11|1,5*7*11|1,1,1,0,[7*10*11|1]~~{(+1  2)}~~>[1*2*10*11|1]~~{(+5)}~~>[5*11|1]~~{(+7)}~~>[5*7*11|1],[7*10*11|1]~>[1*2*10*11|1]~>[5*11|1]~>[5*7*11|1],{(+1  2)}~{(+5)}~{(+7)}~,34.0,3,4,0,0
7*10*11|1,1*2*4*6*7*11|1,4,1,0,[7*10*11|1]~~{(+1  8)}~~>[1*7*8|1]~~{(+4)}~~>[1*4*7*8|1]~~{(+2  6  11)(-8)}~~>[1*2*4*6*7*11|1],[7*10*11|1]~>[1*7*8|1]~>[1*4*7*8|1]~>[1*2*4*6*7*11|1],{(+1  8)}~{(+4)}~{(+2  6  11)(-8)}~,46.0,3,6,1,0
7*10*11|1,3*4*6*7*11|1,,,,N/A,N/A,N/A,,,,,
7*10*11|1,8*11|1,,,,N/A,N/A,N/A,,,,,
7*10*11|1,3*4*6*8*11|1,,,,N/A,N/A,N/A,,,,,
7*10*11|1,2*4*9*11|1,,,,N/A,N/A,N/A,,,,,
7*10*11|1,4*5*7*8*9*11|1,4,1,0,[7*10*11|1]~~{(+4  5  8  9)}~~>[4*5*7*8*9*11|1],[7*10*11|1]~>[4*5*7*8*9*11|1],{(+4  5  8  9)}~,14.0,1,4,0,0
7*10*11|1,4*5*6*7*8*9*11|1,5,1,0,[7*10*11|1]~~{(+4  5  6  8  9)}~~>[4*5*6*7*8*9*11|1],[7*10*11|1]~>[4*5*6*7*8*9*11|1],{(+4  5  6  8  9)}~,15.0,1,5,0,0
7*10*11|1,10*11|1,,,,N/A,N/A,N/A,,,,,
7*10*11|1,1*2*4*10*11|1,3,1,0,[7*10*11|1]~~{(+1  2)}~~>[1*2*10*11|1]~~{(+4)}~~>[1*2*4*10*11|1],[7*10*11|1]~>[1*2*10*11|1]~>[1*2*4*10*11|1],{(+1  2)}~{(+4)}~,23.0,2,3,0,0
7*10*11|1,3*7*8*10*11|1,2,0,0,[7*10*11|1]~~{(+3  8)}~~>[3*7*8*10*11|1],[7*10*11|1]~>[3*7*8*10*11|1],{(+3  8)}~,12.0,1,2,0,0
7*10*11|1,9*10*11|1,1,1,0,[7*10*11|1]~~{(+9)}~~>[9*10*11|1],[7*10*11|1]~>[9*10*11|1],{(+9)}~,11.0,1,1,0,0
7*10*11|1,4*6*8*9*10*11|1,4,1,0,[7*10*11|1]~~{(+4  6  8  9)}~~>[4*6*8*9*10*11|1],[7*10*11|1]~>[4*6*8*9*10*11|1],{(+4  6  8  9)}~,14.0,1,4,0,0
2*7*10*11|1,3*4*6*7|1,,,,N/A,N/A,N/A,,,,,
2*7*10*11|1,4*5*8|1,,,,N/A,N/A,N/A,,,,,
2*7*10*11|1,4*5*7*8|1,3,3,0,[2*7*10*11|1]~~{(+1)}~~>[1*2*10*11|1]~~{(+4)}~~>[1*2*4*10*11|1]~~{(+8)(-11)}~~>[1*2*4*8|1]~~{(+5  7)}~~>[4*5*7*8|1],[2*7*10*11|1]~>[1*2*10*11|1]~>[1*2*4*10*11|1]~>[1*2*4*8|1]~>[4*5*7*8|1],{(+1)}~{(+4)}~{(+8)(-11)}~{(+5  7)}~,55.0,4,5,1,0
2*7*10*11|1,3*6*7*8|1,,,,N/A,N/A,N/A,,,,,
2*7*10*11|1,1*4*9|1,3,4,0,[2*7*10*11|1]~~{(+5)}~~>[5*7*10*11|1]~~{(+9)}~~>[5*9*11|1]~~{(+1)}~~>[1*9|1]~~{(+4)}~~>[1*4*9|1],[2*7*10*11|1]~>[5*7*10*11|1]~>[5*9*11|1]~>[1*9|1]~>[1*4*9|1],{(+5)}~{(+9)}~{(+1)}~{(+4)}~,44.0,4,4,0,0
2*7*10*11|1,2*4*9|1,,,,N/A,N/A,N/A,,,,,
2*7*10*11|1,2*4*6*9|1,,,,N/A,N/A,N/A,,,,,
2*7*10*11|1,1*2*4*5*6*7*9|1,5,2,0,[2*7*10*11|1]~~{(+5)}~~>[5*7*10*11|1]~~{(+1  4  9)}~~>[1*4*5*7*9|1]~~{(+2  6)}~~>[1*2*4*5*6*7*9|1],[2*7*10*11|1]~>[5*7*10*11|1]~>[1*4*5*7*9|1]~>[1*2*4*5*6*7*9|1],{(+5)}~{(+1  4  9)}~{(+2  6)}~,36.0,3,6,0,0
2*7*10*11|1,1*5*8*9|1,4,4,0,[2*7*10*11|1]~~{(+5)}~~>[5*7*10*11|1]~~{(+1  8  9)}~~>[1*5*8*9|1],[2*7*10*11|1]~>[5*7*10*11|1]~>[1*5*8*9|1],{(+5)}~{(+1  8  9)}~,24.0,2,4,0,0
2*7*10*11|1,3*4*5*8*9|1,,,,N/A,N/A,N/A,,,,,
2*7*10*11|1,3*4*10|1,,,,N/A,N/A,N/A,,,,,
2*7*10*11|1,1*7*10|1,,,,N/A,N/A,N/A,,,,,
2*7*10*11|1,1*2*4*7*10|1,2,1,0,[2*7*10*11|1]~~{(+1)}~~>[1*2*10*11|1]~~{(+4)}~~>[1*2*4*10*11|1]~~{(+7)(-11)}~~>[1*2*4*7*10|1],[2*7*10*11|1]~>[1*2*10*11|1]~>[1*2*4*10*11|1]~>[1*2*4*7*10|1],{(+1)}~{(+4)}~{(+7)(-11)}~,43.0,3,3,1,0
2*7*10*11|1,3*4*6*7*10|1,,,,N/A,N/A,N/A,,,,,
2*7*10*11|1,2*4*6*7*8*10|1,,,,N/A,N/A,N/A,,,,,
2*7*10*11|1,5*6*9*10|1,,,,N/A,N/A,N/A,,,,,
2*7*10*11|1,11|1,,,,N/A,N/A,N/A,,,,,
2*7*10*11|1,3*4*8*11|1,,,,N/A,N/A,N/A,,,,,
2*7*10*11|1,6*8*11|1,,,,N/A,N/A,N/A,,,,,
2*7*10*11|1,3*4*6*8*11|1,,,,N/A,N/A,N/A,,,,,
2*7*10*11|1,2*6*7*8*11|1,,,,N/A,N/A,N/A,,,,,
2*7*10*11|1,5*6*7*8*11|1,3,2,0,[2*7*10*11|1]~~{(+5  6  8)}~~>[5*6*7*8*11|1],[2*7*10*11|1]~>[5*6*7*8*11|1],{(+5  6  8)}~,13.0,1,3,0,0
2*7*10*11|1,3*5*6*9*11|1,4,3,0,[2*7*10*11|1]~~{(+5)}~~>[5*7*10*11|1]~~{(+3  6  9)}~~>[3*5*6*9*11|1],[2*7*10*11|1]~>[5*7*10*11|1]~>[3*5*6*9*11|1],{(+5)}~{(+3  6  9)}~,24.0,2,4,0,0
2*7*10*11|1,5*8*9*11|1,3,3,0,[2*7*10*11|1]~~{(+5)}~~>[5*7*10*11|1]~~{(+8  9)}~~>[5*8*9*11|1],[2*7*10*11|1]~>[5*7*10*11|1]~>[5*8*9*11|1],{(+5)}~{(+8  9)}~,23.0,2,3,0,0
2*7*10*11|1,2*4*8*10*11|1,,,,N/A,N/A,N/A,,,,,
2*7*10*11|1,1*2*5*6*9*10*11|1,4,1,0,[2*7*10*11|1]~~{(+1  5  6  9)}~~>[1*2*5*6*9*10*11|1],[2*7*10*11|1]~>[1*2*5*6*9*10*11|1],{(+1  5  6  9)}~,14.0,1,4,0,0
3*7*10*11|1,1*3*4|1,2,3,0,[3*7*10*11|1]~~{(+1  4)}~~>[1*3*4|1],[3*7*10*11|1]~>[1*3*4|1],{(+1  4)}~,12.0,1,2,0,0
3*7*10*11|1,2*4*6|1,,,,N/A,N/A,N/A,,,,,
3*7*10*11|1,1*2*4*6|1,4,4,0,[3*7*10*11|1]~~{(+1  2)}~~>[1*2*10*11|1]~~{(+4)}~~>[1*2*4*10*11|1]~~{(+8)(-11)}~~>[1*2*4*8|1]~~{(+6)(-8)}~~>[1*2*4*6|1],[3*7*10*11|1]~>[1*2*10*11|1]~>[1*2*4*10*11|1]~>[1*2*4*8|1]~>[1*2*4*6|1],{(+1  2)}~{(+4)}~{(+8)(-11)}~{(+6)(-8)}~,65.0,4,5,2,0
3*7*10*11|1,3*4*7*8|1,,,,N/A,N/A,N/A,,,,,
3*7*10*11|1,1*5*7*8|1,3,3,0,[3*7*10*11|1]~~{(+8)}~~>[3*7*8*10*11|1]~~{(+1)(-3)}~~>[1*7*8|1]~~{(+5)}~~>[1*5*7*8|1],[3*7*10*11|1]~>[3*7*8*10*11|1]~>[1*7*8|1]~>[1*5*7*8|1],{(+8)}~{(+1)(-3)}~{(+5)}~,43.0,3,3,1,0
3*7*10*11|1,3*6*7*8|1,,,,N/A,N/A,N/A,,,,,
3*7*10*11|1,1*4*5*8*9|1,5,4,0,[3*7*10*11|1]~~{(+5  8  9)}~~>[3*5*8*9*11|1]~~{(+1  4)(-3)}~~>[1*4*5*8*9|1],[3*7*10*11|1]~>[3*5*8*9*11|1]~>[1*4*5*8*9|1],{(+5  8  9)}~{(+1  4)(-3)}~,35.0,2,5,1,0
3*7*10*11|1,1*4*6*10|1,,,,N/A,N/A,N/A,,,,,
3*7*10*11|1,2*5*6*7*10|1,3,2,0,[3*7*10*11|1]~~{(+8)}~~>[3*7*8*10*11|1]~~{(+1)(-3  8)}~~>[1*7*10|1]~~{(+5)}~~>[1*5*7*10|1]~~{(+2  6)(-1)}~~>[2*5*6*7*10|1],[3*7*10*11|1]~>[3*7*8*10*11|1]~>[1*7*10|1]~>[1*5*7*10|1]~>[2*5*6*7*10|1],{(+8)}~{(+1)(-3  8)}~{(+5)}~{(+2  6)(-1)}~,75.0,4,5,3,0
3*7*10*11|1,1*5*9*10|1,3,3,0,[3*7*10*11|1]~~{(+5)}~~>[5*7*10*11|1]~~{(+1  9)}~~>[1*5*9*10|1],[3*7*10*11|1]~>[5*7*10*11|1]~>[1*5*9*10|1],{(+5)}~{(+1  9)}~,23.0,2,3,0,0
3*7*10*11|1,3*4*5*7*9*10|1,3,1,0,[3*7*10*11|1]~~{(+1  2)}~~>[1*2*10*11|1]~~{(+4)}~~>[1*2*4*10*11|1]~~{(+5  7)(-11)}~~>[4*5*7*10|1]~~{(+3  9)}~~>[3*4*5*7*9*10|1],[3*7*10*11|1]~>[1*2*10*11|1]~>[1*2*4*10*11|1]~>[4*5*7*10|1]~>[3*4*5*7*9*10|1],{(+1  2)}~{(+4)}~{(+5  7)(-11)}~{(+3  9)}~,57.0,4,7,1,0
3*7*10*11|1,5*6*11|1,2,3,0,[3*7*10*11|1]~~{(+1  2)}~~>[1*2*10*11|1]~~{(+5  6)}~~>[5*6*11|1],[3*7*10*11|1]~>[1*2*10*11|1]~>[5*6*11|1],{(+1  2)}~{(+5  6)}~,24.0,2,4,0,0
3*7*10*11|1,3*4*9*11|1,,,,N/A,N/A,N/A,,,,,
3*7*10*11|1,3*4*8*9*10*11|1,3,1,0,[3*7*10*11|1]~~{(+4  8  9)}~~>[3*4*8*9*10*11|1],[3*7*10*11|1]~>[3*4*8*9*10*11|1],{(+4  8  9)}~,13.0,1,3,0,0
4*7*10*11|1,1*4*5*6|1,,,,N/A,N/A,N/A,,,,,
4*7*10*11|1,1*2*4*5*6|1,4,3,0,[4*7*10*11|1]~~{(+5)}~~>[5*7*10*11|1]~~{(+1  9)}~~>[1*5*9*10|1]~~{(+2)}~~>[1*2*9*10|1]~~{(+4  5  6)(-9)}~~>[1*2*4*5*6|1],[4*7*10*11|1]~>[5*7*10*11|1]~>[1*5*9*10|1]~>[1*2*9*10|1]~>[1*2*4*5*6|1],{(+5)}~{(+1  9)}~{(+2)}~{(+4  5  6)(-9)}~,57.0,4,7,1,0
4*7*10*11|1,1*4*5*6*8|1,,,,N/A,N/A,N/A,,,,,
4*7*10*11|1,3*4*5*6*8|1,,,,N/A,N/A,N/A,,,,,
4*7*10*11|1,2*5*6*8*9|1,,,,N/A,N/A,N/A,,,,,
4*7*10*11|1,1*2*4*10|1,2,2,0,[4*7*10*11|1]~~{(+5)}~~>[5*7*10*11|1]~~{(+1  9)}~~>[1*5*9*10|1]~~{(+2)}~~>[1*2*9*10|1]~~{(+4)(-9)}~~>[1*2*4*10|1],[4*7*10*11|1]~>[5*7*10*11|1]~>[1*5*9*10|1]~>[1*2*9*10|1]~>[1*2*4*10|1],{(+5)}~{(+1  9)}~{(+2)}~{(+4)(-9)}~,55.0,4,5,1,0
4*7*10*11|1,3*4*7*10|1,,,,N/A,N/A,N/A,,,,,
4*7*10*11|1,4*6*7*8*10|1,,,,N/A,N/A,N/A,,,,,
4*7*10*11|1,2*4*6*9*10|1,,,,N/A,N/A,N/A,,,,,
4*7*10*11|1,5*7*11|1,1,2,0,[4*7*10*11|1]~~{(+5)}~~>[5*7*10*11|1]~~{(+3  9)}~~>[3*5*9*11|1]~~{(+1  2  6)(-3)}~~>[1*2*11|1]~~{(+5  7)}~~>[5*7*11|1],[4*7*10*11|1]~>[5*7*10*11|1]~>[3*5*9*11|1]~>[1*2*11|1]~>[5*7*11|1],{(+5)}~{(+3  9)}~{(+1  2  6)(-3)}~{(+5  7)}~,58.0,4,8,1,0
4*7*10*11|1,1*2*4*8*11|1,3,2,0,[4*7*10*11|1]~~{(+5)}~~>[5*7*10*11|1]~~{(+1  9)}~~>[1*5*9*10|1]~~{(+2)}~~>[1*2*9*10|1]~~{(+4  8  11)(-9)}~~>[1*2*4*8*11|1],[4*7*10*11|1]~>[5*7*10*11|1]~>[1*5*9*10|1]~>[1*2*9*10|1]~>[1*2*4*8*11|1],{(+5)}~{(+1  9)}~{(+2)}~{(+4  8  11)(-9)}~,57.0,4,7,1,0
4*7*10*11|1,2*5*6*9*11|1,4,3,0,[4*7*10*11|1]~~{(+5)}~~>[5*7*10*11|1]~~{(+2  6  9)}~~>[2*5*6*9*11|1],[4*7*10*11|1]~>[5*7*10*11|1]~>[2*5*6*9*11|1],{(+5)}~{(+2  6  9)}~,24.0,2,4,0,0
4*7*10*11|1,3*4*5*7*9*11|1,3,1,0,[4*7*10*11|1]~~{(+3  5  9)}~~>[3*4*5*7*9*11|1],[4*7*10*11|1]~>[3*4*5*7*9*11|1],{(+3  5  9)}~,13.0,1,3,0,0
4*7*10*11|1,3*4*8*9*11|1,3,2,0,[4*7*10*11|1]~~{(+5)}~~>[5*7*10*11|1]~~{(+3  9)}~~>[3*5*9*11|1]~~{(+1  2  6)(-3)}~~>[1*2*11|1]~~{(+4  7  8)}~~>[4*7*8*11|1]~~{(+3  9)}~~>[3*4*8*9*11|1],[4*7*10*11|1]~>[5*7*10*11|1]~>[3*5*9*11|1]~>[1*2*11|1]~>[4*7*8*11|1]~>[3*4*8*9*11|1],{(+5)}~{(+3  9)}~{(+1  2  6)(-3)}~{(+4  7  8)}~{(+3  9)}~,71.0,5,11,1,0
4*7*10*11|1,3*5*8*9*11|1,4,3,0,[4*7*10*11|1]~~{(+5)}~~>[5*7*10*11|1]~~{(+3  8  9)}~~>[3*5*8*9*11|1],[4*7*10*11|1]~>[5*7*10*11|1]~>[3*5*8*9*11|1],{(+5)}~{(+3  8  9)}~,24.0,2,4,0,0
4*7*10*11|1,2*10*11|1,,,,N/A,N/A,N/A,,,,,
4*7*10*11|1,2*7*10*11|1,,,,N/A,N/A,N/A,,,,,
4*7*10*11|1,4*6*8*9*10*11|1,3,1,0,[4*7*10*11|1]~~{(+6  8  9)}~~>[4*6*8*9*10*11|1],[4*7*10*11|1]~>[4*6*8*9*10*11|1],{(+6  8  9)}~,13.0,1,3,0,0
2*4*7*10*11|1,2*4|1,,,,N/A,N/A,N/A,,,,,
2*4*7*10*11|1,1*2*4*5|1,2,3,0,[2*4*7*10*11|1]~~{(+5)}~~>[5*7*10*11|1]~~{(+1  9)}~~>[1*5*9*10|1]~~{(+2)}~~>[1*2*9*10|1]~~{(+4  5)(-9)}~~>[1*2*4*5|1],[2*4*7*10*11|1]~>[5*7*10*11|1]~>[1*5*9*10|1]~>[1*2*9*10|1]~>[1*2*4*5|1],{(+5)}~{(+1  9)}~{(+2)}~{(+4  5)(-9)}~,56.0,4,6,1,0
2*4*7*10*11|1,1*4*5*6|1,,,,N/A,N/A,N/A,,,,,
2*4*7*10*11|1,3*6*8|1,,,,N/A,N/A,N/A,,,,,
2*4*7*10*11|1,4*7*8|1,,,,N/A,N/A,N/A,,,,,
2*4*7*10*11|1,1*2*4*5*9|1,3,3,0,[2*4*7*10*11|1]~~{(+5)}~~>[5*7*10*11|1]~~{(+1  9)}~~>[1*5*9*10|1]~~{(+2  4)}~~>[1*2*4*5*9|1],[2*4*7*10*11|1]~>[5*7*10*11|1]~>[1*5*9*10|1]~>[1*2*4*5*9|1],{(+5)}~{(+1  9)}~{(+2  4)}~,35.0,3,5,0,0
2*4*7*10*11|1,2*6*9|1,,,,N/A,N/A,N/A,,,,,
2*4*7*10*11|1,4*6*7*9|1,,,,N/A,N/A,N/A,,,,,
2*4*7*10*11|1,3*4*6*8*9|1,,,,N/A,N/A,N/A,,,,,
2*4*7*10*11|1,3*4*10|1,,,,N/A,N/A,N/A,,,,,
2*4*7*10*11|1,4*6*7*10|1,,,,N/A,N/A,N/A,,,,,
2*4*7*10*11|1,1*4*6*7*10|1,,,,N/A,N/A,N/A,,,,,
2*4*7*10*11|1,1*2*4*6*7*8*10|1,3,1,0,[2*4*7*10*11|1]~~{(+5)}~~>[5*7*10*11|1]~~{(+1  9)}~~>[1*5*9*10|1]~~{(+2)}~~>[1*2*9*10|1]~~{(+4  6  7  8)(-9)}~~>[1*2*4*6*7*8*10|1],[2*4*7*10*11|1]~>[5*7*10*11|1]~>[1*5*9*10|1]~>[1*2*9*10|1]~>[1*2*4*6*7*8*10|1],{(+5)}~{(+1  9)}~{(+2)}~{(+4  6  7  8)(-9)}~,58.0,4,8,1,0
2*4*7*10*11|1,3*4*5*9*11|1,3,3,0,[2*4*7*10*11|1]~~{(+9)}~~>[2*4*9*10*11|1]~~{(+3  5)}~~>[3*4*5*9*11|1],[2*4*7*10*11|1]~>[2*4*9*10*11|1]~>[3*4*5*9*11|1],{(+9)}~{(+3  5)}~,23.0,2,3,0,0
2*4*7*10*11|1,4*6*9*11|1,,,,N/A,N/A,N/A,,,,,
2*4*7*10*11|1,4*5*7*8*9*11|1,3,2,0,[2*4*7*10*11|1]~~{(+5  8  9)}~~>[4*5*7*8*9*11|1],[2*4*7*10*11|1]~>[4*5*7*8*9*11|1],{(+5  8  9)}~,13.0,1,3,0,0
2*4*7*10*11|1,5*6*7*10*11|1,2,2,0,[2*4*7*10*11|1]~~{(+5)}~~>[5*7*10*11|1]~~{(+6)}~~>[5*6*7*10*11|1],[2*4*7*10*11|1]~>[5*7*10*11|1]~>[5*6*7*10*11|1],{(+5)}~{(+6)}~,22.0,2,2,0,0
5*7*10*11|1,6|1,,,,N/A,N/A,N/A,,,,,
5*7*10*11|1,1*4*6|1,,,,N/A,N/A,N/A,,,,,
5*7*10*11|1,2*3*4*5*6|1,,,,N/A,N/A,N/A,,,,,
5*7*10*11|1,1*5*7|1,,,,N/A,N/A,N/A,,,,,
5*7*10*11|1,1*2*4*5*8|1,4,3,0,[5*7*10*11|1]~~{(+1  9)}~~>[1*5*9*10|1]~~{(+2)}~~>[1*2*9*10|1]~~{(+4  5  8)(-9)}~~>[1*2*4*5*8|1],[5*7*10*11|1]~>[1*5*9*10|1]~>[1*2*9*10|1]~>[1*2*4*5*8|1],{(+1  9)}~{(+2)}~{(+4  5  8)(-9)}~,46.0,3,6,1,0
5*7*10*11|1,6*9|1,,,,N/A,N/A,N/A,,,,,
5*7*10*11|1,1*4*5*6*7*9|1,4,2,0,[5*7*10*11|1]~~{(+4  9)}~~>[4*5*7*9*11|1]~~{(+1  6)}~~>[1*4*5*6*7*9|1],[5*7*10*11|1]~>[4*5*7*9*11|1]~>[1*4*5*6*7*9|1],{(+4  9)}~{(+1  6)}~,24.0,2,4,0,0
5*7*10*11|1,3*4*6*7*8*9|1,,,,N/A,N/A,N/A,,,,,
5*7*10*11|1,1*6*7*10|1,,,,N/A,N/A,N/A,,,,,
5*7*10*11|1,5*6*7*10|1,,,,N/A,N/A,N/A,,,,,
5*7*10*11|1,1*2*4*6*7*8*10|1,5,2,0,[5*7*10*11|1]~~{(+1  9)}~~>[1*5*9*10|1]~~{(+2)}~~>[1*2*9*10|1]~~{(+4  6  7  8)(-9)}~~>[1*2*4*6*7*8*10|1],[5*7*10*11|1]~>[1*5*9*10|1]~>[1*2*9*10|1]~>[1*2*4*6*7*8*10|1],{(+1  9)}~{(+2)}~{(+4  6  7  8)(-9)}~,47.0,3,7,1,0
5*7*10*11|1,4*5*7*9*10|1,2,1,0,[5*7*10*11|1]~~{(+1  9)}~~>[1*5*9*10|1]~~{(+2)}~~>[1*2*9*10|1]~~{(+4  5  7)(-9)}~~>[4*5*7*10|1]~~{(+9)}~~>[4*5*7*9*10|1],[5*7*10*11|1]~>[1*5*9*10|1]~>[1*2*9*10|1]~>[4*5*7*10|1]~>[4*5*7*9*10|1],{(+1  9)}~{(+2)}~{(+4  5  7)(-9)}~{(+9)}~,57.0,4,7,1,0
5*7*10*11|1,2*6*8*11|1,,,,N/A,N/A,N/A,,,,,
5*7*10*11|1,3*6*8*11|1,,,,N/A,N/A,N/A,,,,,
5*7*10*11|1,2*4*9*11|1,,,,N/A,N/A,N/A,,,,,
5*7*10*11|1,4*6*7*8*10*11|1,3,1,0,[5*7*10*11|1]~~{(+1  9)}~~>[1*5*9*10|1]~~{(+2)}~~>[1*2*9*10|1]~~{(+4  6  7  8  11)(-9)}~~>[4*6*7*8*10*11|1],[5*7*10*11|1]~>[1*5*9*10|1]~>[1*2*9*10|1]~>[4*6*7*8*10*11|1],{(+1  9)}~{(+2)}~{(+4  6  7  8  11)(-9)}~,48.0,3,8,1,0
5*7*10*11|1,3*4*9*10*11|1,3,2,0,[5*7*10*11|1]~~{(+1  9)}~~>[1*5*9*10|1]~~{(+2)}~~>[1*2*9*10|1]~~{(+4  7  11)(-9)}~~>[2*4*7*10*11|1]~~{(+3  9)(-2)}~~>[3*4*9*10*11|1],[5*7*10*11|1]~>[1*5*9*10|1]~>[1*2*9*10|1]~>[2*4*7*10*11|1]~>[3*4*9*10*11|1],{(+1  9)}~{(+2)}~{(+4  7  11)(-9)}~{(+3  9)(-2)}~,68.0,4,8,2,0
5*7*10*11|1,1*2*5*9*10*11|1,3,1,0,[5*7*10*11|1]~~{(+1  2  9)}~~>[1*2*5*9*10*11|1],[5*7*10*11|1]~>[1*2*5*9*10*11|1],{(+1  2  9)}~,13.0,1,3,0,0
6*7*10*11|1,3*4*5|1,,,,N/A,N/A,N/A,,,,,
6*7*10*11|1,2*4*5*6|1,,,,N/A,N/A,N/A,,,,,
6*7*10*11|1,3*5*7|1,,,,N/A,N/A,N/A,,,,,
6*7*10*11|1,1*2*4*8|1,4,4,0,[6*7*10*11|1]~~{(+1)}~~>[1*6*7*10|1]~~{(+2)}~~>[1*2*10|1]~~{(+4  8)}~~>[1*2*4*8|1],[6*7*10*11|1]~>[1*6*7*10|1]~>[1*2*10|1]~>[1*2*4*8|1],{(+1)}~{(+2)}~{(+4  8)}~,34.0,3,4,0,0
6*7*10*11|1,1*5*6*8|1,,,,N/A,N/A,N/A,,,,,
6*7*10*11|1,3*7*8|1,,,,N/A,N/A,N/A,,,,,
6*7*10*11|1,9|1,,,,N/A,N/A,N/A,,,,,
6*7*10*11|1,3*6*9|1,,,,N/A,N/A,N/A,,,,,
6*7*10*11|1,1*4*6*7*9|1,3,2,0,[6*7*10*11|1]~~{(+1  4  8  9)}~~>[1*4*6*7*8*9|1]~~{(-8)}~~>[1*4*6*7*9|1],[6*7*10*11|1]~>[1*4*6*7*8*9|1]~>[1*4*6*7*9|1],{(+1  4  8  9)}~{(-8)}~,34.0,2,4,1,0
6*7*10*11|1,1*2*8*9|1,4,4,0,[6*7*10*11|1]~~{(+1)}~~>[1*6*7*10|1]~~{(+2  8  9)}~~>[1*2*8*9|1],[6*7*10*11|1]~>[1*6*7*10|1]~>[1*2*8*9|1],{(+1)}~{(+2  8  9)}~,24.0,2,4,0,0
6*7*10*11|1,1*4*6*8*9|1,4,3,0,[6*7*10*11|1]~~{(+1  9)}~~>[1*6*9*10|1]~~{(+4  8)}~~>[1*4*6*8*9|1],[6*7*10*11|1]~>[1*6*9*10|1]~>[1*4*6*8*9|1],{(+1  9)}~{(+4  8)}~,24.0,2,4,0,0
6*7*10*11|1,2*4*5*6*8*9|1,,,,N/A,N/A,N/A,,,,,
6*7*10*11|1,1*4*10|1,,,,N/A,N/A,N/A,,,,,
6*7*10*11|1,4*6*10|1,,,,N/A,N/A,N/A,,,,,
